turf_name,city,hub_code,geometry,total_orders
turf_15,München,de_muc_blut,"POLYGON((11.512122 48.154233, 11.516431 48.151578, 11.516432 48.151578, 11.516432 48.151577, 11.516362 48.150852, 11.516233 48.150068, 11.517636 48.150997, 11.517636 48.150998, 11.517637 48.150998, 11.517637 48.150997, 11.518739 48.150532, 11.522678 48.149462, 11.522678 48.149461, 11.523092 48.148938, 11.523092 48.148937, 11.522896 48.147756, 11.523005 48.147586, 11.524613 48.147355, 11.523735 48.149528, 11.52202 48.149769, 11.519865 48.151096, 11.52198 48.153874, 11.523257 48.15472, 11.524933 48.158585, 11.529643 48.158948, 11.532198 48.160639, 11.533914 48.160398, 11.537747 48.162935, 11.540741 48.163539, 11.542896 48.162212, 11.546767 48.160643, 11.553633 48.159678, 11.558343 48.16004, 11.561338 48.160644, 11.565648 48.157988, 11.563969 48.154124, 11.565284 48.150863, 11.564883 48.147844, 11.567075 48.142409, 11.565798 48.141564, 11.562804 48.14096, 11.558094 48.140598, 11.551231 48.141563, 11.550593 48.14114, 11.55132 48.140719, 11.551739 48.140845, 11.55296 48.140825, 11.553869 48.140527, 11.55387 48.140527, 11.55387 48.140526, 11.554543 48.139872, 11.554543 48.139871, 11.554667 48.138416, 11.555075 48.137892, 11.555888 48.137683, 11.555889 48.137683, 11.558349 48.13772, 11.559006 48.137392, 11.559189 48.13686, 11.559189 48.136859, 11.559074 48.135093, 11.559648 48.134739, 11.559264 48.134464, 11.560092 48.133033, 11.560535 48.132459, 11.561071 48.13234, 11.564189 48.132638, 11.565724 48.133174, 11.571989 48.130808, 11.577506 48.128728, 11.583386 48.130619, 11.585882 48.13238, 11.589786 48.136989, 11.578478 48.138424, 11.576851 48.140139, 11.576677 48.140941, 11.575559 48.142703, 11.575802 48.142797, 11.575961 48.143005, 11.575895 48.143313, 11.575371 48.14397, 11.572524 48.146316, 11.574182 48.146193, 11.572833 48.147025, 11.572833 48.147026, 11.572832 48.147026, 11.572793 48.147577, 11.571156 48.149897, 11.569718 48.152604, 11.568301 48.154525, 11.568301 48.154526, 11.568073 48.155157, 11.568073 48.155158, 11.567853 48.156837, 11.567319 48.157905, 11.566155 48.159074, 11.561572 48.162582, 11.560931 48.162951, 11.56093 48.162951, 11.560336 48.163081, 11.558902 48.162752, 11.557593 48.162047, 11.557592 48.162047, 11.557592 48.162048, 11.557466 48.162214, 11.557028 48.1633, 11.557161 48.164306, 11.557162 48.164306, 11.554872 48.164628, 11.553834 48.165056, 11.551001 48.166198, 11.544135 48.167162, 11.539424 48.166799, 11.535552 48.168367, 11.532997 48.166676, 11.530003 48.166072, 11.527448 48.164381, 11.523177 48.16293, 11.5219 48.162085, 11.516791 48.158702, 11.514676 48.155924, 11.512122 48.154233))",3481
turf_15,München,de_muc_unge,"POLYGON((11.6034806381128 48.1825206769285, 11.597133 48.184305, 11.591105 48.187204, 11.588109 48.1866, 11.582556 48.184307, 11.575286 48.182256, 11.572729 48.180566, 11.569332 48.176944, 11.557829 48.169337, 11.557428 48.166319, 11.557161 48.164307, 11.557028 48.1633, 11.557466 48.162214, 11.557593 48.162047, 11.558902 48.162752, 11.560336 48.163081, 11.560931 48.162951, 11.561572 48.162582, 11.566155 48.159074, 11.567319 48.157905, 11.567853 48.156837, 11.568073 48.155157, 11.568301 48.154525, 11.569718 48.152604, 11.571156 48.149897, 11.5721373218639 48.1485062445179, 11.572793 48.147577, 11.572833 48.147025, 11.574182 48.146193, 11.572524 48.146316, 11.575371 48.14397, 11.575895 48.143313, 11.575961 48.143005, 11.575802 48.142797, 11.575559 48.142703, 11.576677 48.140941, 11.576851 48.140139, 11.577033 48.140017, 11.578478 48.138424, 11.589786 48.136989, 11.593714 48.139199, 11.595496 48.142525, 11.596425 48.147212, 11.598526 48.149154, 11.599994 48.151099, 11.601638 48.153034, 11.602777 48.154051, 11.603567 48.154538, 11.606534 48.157845, 11.609333 48.160965, 11.610607 48.16293, 11.611448 48.164862, 11.610572 48.167036, 11.610537 48.171141, 11.608785 48.175489, 11.609626 48.17742, 11.609591 48.181525, 11.607436 48.182854, 11.60444 48.182251, 11.6034806381128 48.1825206769285), (11.5753578543454 48.1520012347592, 11.574267 48.152674, 11.57339 48.154848, 11.571235 48.156176, 11.56992 48.159437, 11.565726 48.16217, 11.56561 48.162093, 11.5613 48.16475, 11.568968 48.169822, 11.568091 48.171994, 11.572365 48.173443, 11.5762 48.175978, 11.57704 48.17791, 11.583031 48.179116, 11.587305 48.180565, 11.589862 48.182254, 11.592456 48.179839, 11.594611 48.178511, 11.5991910066791 48.1778654778006, 11.601479 48.177543, 11.6002 48.176699, 11.599361 48.174767, 11.600974 48.171794, 11.601682 48.171636, 11.605387 48.171868, 11.606701 48.168607, 11.605422 48.167762, 11.602426 48.167159, 11.601149 48.166313, 11.605457 48.163657, 11.606771 48.160396, 11.603117 48.157983, 11.603331 48.15774, 11.602648 48.156737, 11.601208 48.157431, 11.599777 48.155418, 11.599973 48.15535, 11.599919 48.155237, 11.599596 48.154925, 11.598308 48.154645, 11.597877 48.15417, 11.597529 48.154336, 11.596277 48.153066, 11.596218 48.152731, 11.595628 48.152031, 11.595338 48.150639, 11.594149 48.151546, 11.593725 48.150816, 11.593989 48.150631, 11.593818 48.149066, 11.59461 48.148915, 11.594436 48.14866, 11.594123 48.148315, 11.593907 48.148437, 11.593413 48.148216, 11.593346 48.14828, 11.593205 48.14816, 11.592629 48.147821, 11.591955 48.147537, 11.59169 48.147333, 11.592566 48.146602, 11.592949 48.146543, 11.592962 48.146146, 11.592712 48.145862, 11.59206 48.145128, 11.588359 48.143337, 11.587325 48.143971, 11.587188 48.144342, 11.585088 48.144742, 11.584268 48.143853, 11.582862 48.14119, 11.581264 48.141529, 11.577955 48.142195, 11.578303 48.142928, 11.578861 48.143996, 11.579525 48.143866, 11.579972 48.145026, 11.582741 48.144465, 11.583643 48.144569, 11.58483 48.147217, 11.584685 48.14712, 11.582885 48.147359, 11.5753578543454 48.1520012347592))",3161
turf_15,Berlin,de_ber_kotd,"POLYGON((13.3955920855296 52.4957867350571, 13.395196 52.493561, 13.394247 52.491742, 13.39557 52.488652, 13.397843 52.487382, 13.399903 52.487732, 13.40042 52.48782, 13.401063 52.48793, 13.401064 52.48793, 13.404218 52.4846, 13.408763 52.482058, 13.410594 52.481817, 13.412871 52.480543, 13.415137 52.479275, 13.415661 52.478721, 13.418291 52.475943, 13.418732 52.474913, 13.425784 52.473984, 13.424385 52.475432, 13.424363 52.475677, 13.425614 52.474979, 13.425675 52.474914, 13.426881 52.476681, 13.42763 52.477403, 13.426564 52.476798, 13.424733 52.47704, 13.42019 52.479582, 13.418359 52.479823, 13.416087 52.481094, 13.413374 52.483396, 13.413721 52.48494, 13.404285 52.488479, 13.402013 52.489749, 13.40208 52.493628, 13.404419 52.496237, 13.404543067667 52.4964746820287, 13.406318 52.499875, 13.408658 52.502483, 13.41188 52.503031, 13.414661 52.504609, 13.416934 52.503338, 13.421547 52.504675, 13.426602 52.504983, 13.430774 52.507349, 13.432606 52.507108, 13.434879 52.505837, 13.437592 52.503536, 13.442137 52.500994, 13.442811899313 52.4994159153408, 13.443018 52.498934, 13.447122 52.497421, 13.447562 52.496391, 13.446613 52.494572, 13.447677 52.493677, 13.448439 52.49434, 13.450013 52.495038, 13.453736 52.495868, 13.454023 52.496167, 13.454036 52.496308, 13.454284 52.496641, 13.454328 52.496736, 13.456957 52.498836, 13.4520542861646 52.5001262588481, 13.449688 52.500749, 13.448358 52.502092, 13.447962 52.503331, 13.448186 52.505697, 13.448066 52.506507, 13.447578 52.507004, 13.447076 52.507112, 13.446059 52.507216, 13.445264 52.507243, 13.443064 52.507544, 13.442404 52.507826, 13.442208 52.507521, 13.440694 52.50828, 13.439376 52.508612, 13.434798 52.508835, 13.43364 52.509039, 13.431725 52.509168, 13.429088 52.508404, 13.428765 52.508523, 13.428502 52.50862, 13.426229 52.50989, 13.425348 52.50974, 13.425033 52.509289, 13.424469 52.508793, 13.424468 52.508793, 13.423824 52.508499, 13.420042 52.508357, 13.416496 52.507032, 13.414846 52.506771, 13.41325 52.507032, 13.410444 52.50831, 13.407919 52.507881, 13.405942 52.506654, 13.405057 52.506458, 13.401747 52.506041, 13.400301 52.50569, 13.399109 52.505174, 13.396777 52.503778, 13.395642 52.503344, 13.395136 52.502743, 13.394887 52.502348, 13.394925 52.501659, 13.396441 52.498997, 13.396437 52.497889, 13.396124 52.497217, 13.395703 52.49641, 13.3955920855296 52.4957867350571), (13.4478768087687 52.4998051898437, 13.4461946 52.498841, 13.4454202 52.4992908, 13.4457854680924 52.4996444553609, 13.4467224 52.5005516, 13.4476437 52.5002166, 13.4482549 52.5000219, 13.4478768087687 52.4998051898437))",2693
turf_15,Berlin,de_ber_noll,"POLYGON((13.373535 52.511604, 13.370011 52.511006, 13.369765 52.510975, 13.368885 52.510861, 13.362553 52.509803, 13.354657 52.511508, 13.353307 52.51265, 13.352672 52.513025, 13.35188 52.513373, 13.351023 52.513507, 13.351022 52.513507, 13.348175 52.513004, 13.347828 52.512998, 13.344108 52.511917, 13.341561 52.511794, 13.341506 52.511789, 13.341378 52.511431, 13.341397 52.5105, 13.341397 52.510499, 13.341049 52.510243, 13.339977 52.510261, 13.336927 52.510863, 13.335831 52.510801, 13.334892 52.510287, 13.333887 52.50933, 13.333885 52.509328, 13.3337 52.509152, 13.333874 52.509482, 13.333867 52.509583, 13.333865 52.509608, 13.333863 52.509633, 13.33386 52.509683, 13.333846 52.509885, 13.333818 52.510287, 13.333827 52.510311, 13.332901 52.509886, 13.32837 52.508391, 13.324657 52.507137, 13.319907 52.505122, 13.317778 52.503079, 13.317949 52.502168, 13.318177 52.500953, 13.319167 52.499659, 13.323294 52.49608, 13.325781 52.494636, 13.322321 52.49825, 13.323268 52.50007, 13.324044 52.500522, 13.323716 52.501618, 13.325604 52.502679, 13.32808 52.505223, 13.329329 52.506078, 13.33255 52.506628, 13.334382 52.506389, 13.339434 52.5067, 13.341771 52.509308, 13.343276 52.509151, 13.344608 52.510314, 13.345574 52.511015, 13.346423 52.509999, 13.348776 52.509706, 13.349719 52.509463, 13.351879 52.509974, 13.352804 52.50972, 13.353448 52.509663, 13.356897 52.509939, 13.358762 52.509999, 13.360593 52.509759, 13.361919 52.506671, 13.365076 52.503343, 13.365517 52.502313, 13.368868 52.500465, 13.369172 52.498216, 13.369026 52.497333, 13.368574 52.496483, 13.368213 52.496068, 13.368609 52.495106, 13.365829 52.493527, 13.362608 52.492977, 13.360271 52.490368, 13.35643 52.488135, 13.355274 52.486217, 13.345936 52.4835, 13.342885 52.4839, 13.342275 52.48398, 13.340865 52.484164, 13.33634 52.485729, 13.334509 52.485968, 13.333625 52.488027, 13.33091 52.490326, 13.328636 52.491595, 13.325812 52.494534, 13.326527 52.492164, 13.327159 52.491788, 13.331029 52.489491, 13.331716 52.486171, 13.33184 52.486033, 13.334678 52.482873, 13.335273 52.481983, 13.339938 52.48137, 13.342653 52.479071, 13.345064 52.479161, 13.345873 52.479621, 13.347025 52.479956, 13.350482 52.480961, 13.351886 52.481616, 13.35424 52.483098, 13.354649 52.48333, 13.356986 52.48594, 13.361596 52.487279, 13.364817 52.487829, 13.364375 52.488859, 13.371323 52.492807, 13.372271 52.494626, 13.374609 52.497235, 13.375116 52.500083, 13.374675 52.501113, 13.372843 52.501353, 13.37023 52.504132, 13.370697 52.504281, 13.371723 52.504328, 13.373529 52.504115, 13.372073 52.5065, 13.37448 52.509833, 13.374364 52.509898, 13.374557 52.510278, 13.373625 52.511424, 13.373535 52.511604))",2230
turf_15,Berlin,de_ber_alex,"POLYGON((13.384969 52.517193, 13.382264 52.515663, 13.38139 52.514724, 13.379888 52.51304, 13.379616 52.512879, 13.378617 52.513041, 13.378595 52.513327, 13.376955 52.512997, 13.376826 52.512579, 13.377166 52.512247, 13.37739 52.511727, 13.378082 52.51104, 13.379997 52.510339, 13.380843 52.509843, 13.381486 52.50914, 13.381585 52.508497, 13.381232 52.508062, 13.380146 52.507452, 13.381088 52.506311, 13.383642 52.505382, 13.384646 52.504615, 13.384789 52.504334, 13.385322 52.503281, 13.38569 52.502967, 13.387413 52.502532, 13.389386 52.502412, 13.390402 52.502505, 13.390516 52.502441, 13.391331 52.502578, 13.391665 52.501799, 13.392692 52.501974, 13.39326 52.501976, 13.394887 52.502348, 13.395136 52.502743, 13.395642 52.503344, 13.396777 52.503778, 13.399109 52.505174, 13.400301 52.50569, 13.401747 52.506041, 13.405057 52.506458, 13.405942 52.506654, 13.407919 52.507881, 13.410444 52.50831, 13.41325 52.507032, 13.414846 52.506771, 13.416496 52.507032, 13.420042 52.508357, 13.423824 52.508499, 13.424469 52.508793, 13.425033 52.509289, 13.425348 52.50974, 13.426229 52.50989, 13.428502 52.50862, 13.429088 52.508404, 13.431725 52.509168, 13.430944 52.515178, 13.42857 52.512498, 13.424906 52.51298, 13.420292 52.511643, 13.418902 52.510854, 13.415238 52.511335, 13.410183 52.511028, 13.402856 52.51199, 13.402415 52.51302, 13.396478 52.514771, 13.394271 52.519918, 13.393821 52.520393, 13.393352 52.518917, 13.392736 52.518273, 13.391404 52.51785, 13.389167 52.517609, 13.386663 52.517498, 13.386876 52.517002, 13.384969 52.517193))",2220
turf_23,München,de_muc_swan,"POLYGON((11.49068 48.124695, 11.490063 48.12439, 11.489308 48.122855, 11.48918 48.122196, 11.490188 48.120407, 11.492781 48.117992, 11.49322 48.116905, 11.498366 48.116183, 11.504828 48.1122, 11.511689 48.111236, 11.513843 48.109908, 11.517273 48.109426, 11.518549 48.110272, 11.519387 48.112204, 11.524532 48.111482, 11.526686 48.110153, 11.529678 48.110758, 11.533547 48.109188, 11.539464 48.108407, 11.544676 48.109673, 11.546391 48.109431, 11.550145 48.109377, 11.555159 48.111582, 11.559161 48.117888, 11.560509 48.118577, 11.567488 48.122675, 11.571087 48.124566, 11.577732 48.128036, 11.577506 48.128728, 11.571989 48.130808, 11.57095 48.131203, 11.567626 48.129002, 11.564633 48.128398, 11.561201 48.128881, 11.559027 48.128213, 11.556931 48.127432, 11.555253 48.123566, 11.555692 48.122479, 11.549512 48.117831, 11.545633 48.116112, 11.542483 48.115109, 11.538614 48.116679, 11.535622 48.116075, 11.530915 48.115711, 11.525769 48.116435, 11.522777 48.11583, 11.514201 48.117036, 11.512047 48.118364, 11.507779 48.116912, 11.506064 48.117153, 11.503479 48.11554, 11.501357 48.116789, 11.497488 48.118357, 11.495773 48.118598, 11.494894 48.120772, 11.49068 48.124695))",1877
turf_15,Berlin,de_ber_blis,"MULTIPOLYGON(((13.328817 52.471187, 13.326799 52.468965, 13.327951 52.469037, 13.327952 52.469037, 13.327952 52.469038, 13.32771 52.469605, 13.329682 52.469128, 13.331038 52.4699, 13.335646 52.471241, 13.337981 52.473851, 13.3423 52.476307, 13.342155 52.476582, 13.338333 52.477499, 13.338281 52.477699, 13.33793 52.478947, 13.333436 52.47639, 13.330217 52.47584, 13.327882 52.473229, 13.328817 52.471187)), ((13.305349 52.469373, 13.305628 52.469137, 13.306531 52.469098, 13.309826 52.468237, 13.311547 52.468049, 13.313012 52.468188, 13.316835 52.469054, 13.317072 52.469087, 13.316105 52.469822, 13.314079 52.471875, 13.306162 52.473631, 13.291434 52.488566, 13.292457 52.49535, 13.297202 52.497552, 13.299814 52.497414, 13.303176 52.497599, 13.306282 52.499374, 13.311333 52.499686, 13.315943 52.501027, 13.317949 52.502168, 13.317778 52.503079, 13.317151 52.502995, 13.311792 52.502277, 13.306299 52.501827, 13.303126 52.501799, 13.302055 52.501732, 13.301066 52.50167, 13.300788 52.500091, 13.29618 52.49875, 13.292577 52.496718, 13.289455 52.496119, 13.287406 52.495037, 13.282739 52.489817, 13.284952 52.48467, 13.287225 52.483402, 13.287226 52.483402, 13.287226 52.483401, 13.286723 52.480552, 13.294869 52.473659, 13.294869 52.473658, 13.29487 52.473658, 13.29487 52.473657, 13.293924 52.471838, 13.292536 52.471047, 13.297585 52.47136, 13.300172 52.47094, 13.305349 52.469373)))",1840
turf_15,Hamburg,de_ham_wanm,"POLYGON((10.098208 53.580192, 10.097537 53.581518, 10.097076 53.582432, 10.096689 53.583228, 10.094348 53.5844, 10.091018 53.587556, 10.08498 53.589088, 10.077953 53.592604, 10.074257 53.592964, 10.071054 53.592333, 10.066498 53.59089, 10.061448 53.590439, 10.057258 53.59179, 10.055409 53.59197, 10.054422 53.591022, 10.051843 53.588544, 10.049135 53.586921, 10.048738 53.58654, 10.048342 53.586499, 10.048963 53.585619, 10.04938 53.584103, 10.048449 53.58007, 10.051607 53.581964, 10.05382 53.584579, 10.056842 53.585538, 10.058375 53.586022, 10.062436 53.588456, 10.069829 53.587736, 10.074385 53.589178, 10.078575 53.587826, 10.081411 53.585663, 10.084741 53.582508, 10.085728 53.580525, 10.087512 53.579626, 10.090653 53.578158, 10.09226 53.578, 10.0914 53.576197, 10.094235 53.574032, 10.09202 53.571418, 10.089439 53.566008, 10.082671 53.561951, 10.07947 53.56132, 10.075775 53.561681, 10.069373 53.560418, 10.065185 53.561771, 10.06149 53.562131, 10.05921 53.561926, 10.056314 53.561688, 10.050901 53.56222, 10.045402 53.566908, 10.045983 53.564478, 10.045616 53.560159, 10.047622 53.558765, 10.052477 53.556158, 10.05295 53.556782, 10.053941 53.557469, 10.054869 53.557834, 10.054725 53.558071, 10.056442 53.558442, 10.059016 53.559631, 10.059711 53.560291, 10.060631 53.560328, 10.060803 53.560688, 10.061313 53.560523, 10.062695 53.560725, 10.064473 53.560575, 10.067558 53.559555, 10.071292 53.560015, 10.074532 53.55966, 10.077444 53.560481, 10.08022 53.560724, 10.081528 53.561082, 10.081811 53.560147, 10.087538 53.561366, 10.09006 53.561229, 10.092807 53.560963, 10.095109 53.561679, 10.096956 53.561498, 10.098677 53.565105, 10.09535 53.568261, 10.09535 53.568262, 10.09535 53.568263, 10.100765 53.571507, 10.10298 53.574121, 10.101499 53.577097, 10.098664 53.579261, 10.098208 53.580192), (10.094749 53.579954, 10.0968 53.58111, 10.097537 53.581518, 10.094749 53.579954))",1833
turf_15,Hamburg,de_ham_winw,"MULTIPOLYGON(((10.011089 53.582128, 10.014652 53.585555, 10.017853 53.586188, 10.023891 53.584658, 10.026233 53.583488, 10.031282 53.583941, 10.034483 53.584573, 10.041874 53.583854, 10.04567 53.58195, 10.046558 53.581512, 10.048449 53.58007, 10.04938 53.584103, 10.048963 53.585619, 10.048342 53.586499, 10.045934 53.586289, 10.039896 53.587819, 10.037554 53.58899, 10.0362 53.588179, 10.032999 53.587547, 10.028809 53.588897, 10.026961 53.589076, 10.02376 53.588444, 10.019569 53.589794, 10.015874 53.590152, 10.014521 53.58934, 10.015016 53.588349, 10.014158 53.586547, 10.009109 53.586093, 10.011089 53.582128)), ((10.012868 53.557428, 10.015919 53.555454, 10.015523 53.55479, 10.01569 53.554511, 10.01413 53.554228, 10.014847 53.553461, 10.019893 53.553914, 10.025927 53.552384, 10.029985 53.55482, 10.033184 53.555452, 10.038231 53.555905, 10.040572 53.554733, 10.044995 53.559964, 10.045616 53.560159, 10.045983 53.564478, 10.045402 53.566908, 10.043512 53.562939, 10.040312 53.562307, 10.037606 53.560684, 10.031207 53.559419, 10.027149 53.556983, 10.019297 53.557773, 10.020135 53.557282, 10.019621 53.557068, 10.019025 53.557462, 10.018597 53.557481, 10.016425 53.558711, 10.014788 53.557912, 10.014221 53.55824, 10.012868 53.557428)))",1817
turf_23,München,de_muc_gril,"MULTIPOLYGON(((11.610607 48.16293, 11.609333 48.160965, 11.609767 48.160998, 11.614882 48.164378, 11.617877 48.16498, 11.62259 48.16534, 11.623869 48.166185, 11.626933 48.158575, 11.62865 48.158333, 11.632521 48.156761, 11.633396 48.154586, 11.638546 48.153858, 11.647162 48.148538, 11.648912 48.144188, 11.651007 48.142894, 11.650982 48.143538, 11.650971 48.143564, 11.650971 48.143565, 11.651907 48.14479, 11.650596 48.148051, 11.650596 48.148052, 11.654433 48.150586, 11.650127 48.153245, 11.650125 48.153246, 11.648409 48.153489, 11.648408 48.153489, 11.648408 48.15349, 11.647971 48.154577, 11.647096 48.156751, 11.641946 48.157479, 11.640229 48.157722, 11.636358 48.159294, 11.634204 48.160624, 11.631612 48.163041, 11.630299 48.166302, 11.625989 48.168961, 11.625114 48.171135, 11.623835 48.17029, 11.621816 48.170136, 11.619964 48.171862, 11.617405 48.170173, 11.614006 48.166552, 11.610607 48.16293)), ((11.651675 48.137005, 11.651492 48.137561, 11.650694 48.13573, 11.649415 48.134886, 11.649258 48.134526, 11.650205 48.134755, 11.650689 48.135113, 11.651361 48.135611, 11.651361 48.135612, 11.651361 48.135613, 11.651671 48.136292, 11.651675 48.137005)), ((11.623462 48.099114, 11.622681 48.10099, 11.622484 48.108828, 11.620078 48.107237, 11.618362 48.107479, 11.617425 48.10786, 11.614494 48.109052, 11.609347 48.10978, 11.604638 48.10942, 11.597777 48.110389, 11.597339 48.111477, 11.593032 48.114137, 11.589163 48.115709, 11.580586 48.116919, 11.578833 48.121269, 11.574125 48.120907, 11.571533 48.123324, 11.571094 48.124411, 11.571087 48.124566, 11.567488 48.122675, 11.560509 48.118577, 11.561314 48.116559, 11.565183 48.114988, 11.57033 48.114263, 11.574199 48.112692, 11.57679 48.110275, 11.580659 48.108703, 11.58752 48.107734, 11.590111 48.105317, 11.59398 48.103745, 11.599126 48.103018, 11.602994 48.101445, 11.605147 48.100115, 11.606424 48.10096, 11.610695 48.102408, 11.61241 48.102165, 11.616716 48.099504, 11.621862 48.098776, 11.623462 48.099114)))",1750
