turf_id,polygon_geometry,total_orders_in_polygon
0577d5b7-951b-4ad4-a9be-12fef82eb9ac,"MULTIPOLYGON(((13.350482 52.480961, 13.347025 52.479956, 13.346544 52.47903, 13.346983 52.478246, 13.34727 52.477175, 13.347292 52.476548, 13.348587 52.477321, 13.350418 52.477081, 13.351807 52.477871, 13.354589 52.477653, 13.354645 52.478396, 13.355027 52.478421, 13.356058 52.479007, 13.354796 52.47932, 13.352956 52.479916, 13.351569 52.481302, 13.351523 52.481444, 13.350482 52.480961)), ((13.344108 52.511917, 13.348719 52.513257, 13.351941 52.513806, 13.354657 52.511508, 13.362553 52.509803, 13.368885 52.510861, 13.370011 52.511006, 13.368901 52.512565, 13.367543 52.513707, 13.36527 52.514976, 13.357942 52.515935, 13.355669 52.517204, 13.353837 52.517444, 13.344614 52.514765, 13.340748 52.514105, 13.339976 52.514759, 13.336199 52.511274, 13.341561 52.511794, 13.344108 52.511917)))",30294
975e428d-945b-4f28-808b-382a4b9b5510,"MULTIPOLYGON(((13.286315 52.499632, 13.288233 52.500052, 13.284307 52.502241, 13.280644 52.502718, 13.275594 52.502405, 13.275151 52.503434, 13.27199 52.506759, 13.269716 52.508027, 13.269775 52.511904, 13.269332 52.512933, 13.2755824 52.5164898, 13.2752593 52.5165638, 13.2675996 52.5121204, 13.269043 52.507181, 13.272433 52.505731, 13.274907 52.501882, 13.276036 52.501376, 13.281087 52.501689, 13.282919 52.50145, 13.285276 52.500115, 13.286315 52.499632)), ((13.289298 52.498676, 13.287931 52.497897, 13.287298 52.49856, 13.286522 52.497097, 13.285132 52.496305, 13.282799 52.493695, 13.278634 52.491323, 13.278574 52.487445, 13.279903 52.484357, 13.279843 52.480478, 13.280286 52.479449, 13.284832 52.476912, 13.287548 52.474614, 13.289761 52.469466, 13.292033 52.468197, 13.295694 52.467719, 13.30024 52.465181, 13.306173 52.463434, 13.310718 52.460895, 13.314378 52.460416, 13.317596 52.460967, 13.319931 52.463578, 13.323149 52.464129, 13.32681 52.46365, 13.332364 52.466811, 13.337413 52.467121, 13.339749 52.469731, 13.342526 52.471312, 13.343653 52.473477, 13.343463 52.474101, 13.3423 52.476307, 13.337981 52.473851, 13.335646 52.471241, 13.331038 52.4699, 13.324643 52.46626, 13.319489 52.464608, 13.313998 52.465326, 13.308064 52.467074, 13.305349 52.469373, 13.300172 52.47094, 13.297585 52.47136, 13.292536 52.471047, 13.293924 52.471838, 13.294869 52.473659, 13.286723 52.480552, 13.287225 52.483402, 13.284952 52.48467, 13.282739 52.489817, 13.287406 52.495037, 13.289455 52.496119, 13.292577 52.496718, 13.29618 52.49875, 13.300788 52.500091, 13.301066 52.50167, 13.293478 52.501199, 13.292831 52.50103, 13.292517 52.499227, 13.289298 52.498676)))",13340
7755a49a-e332-4444-9c37-fd10164f09ec,"MULTIPOLYGON(((11.516233 48.150068, 11.516362 48.150852, 11.515299 48.151038, 11.515298 48.151038, 11.510561 48.152542, 11.509798 48.152693, 11.508292 48.151695, 11.507015 48.150849, 11.502306 48.150485, 11.499313 48.149879, 11.498476 48.147947, 11.496994 48.145932, 11.498078 48.144928, 11.498225 48.145025, 11.50004 48.144738, 11.505779 48.145898, 11.514318 48.1488, 11.516233 48.150068)), ((11.507299 48.122106, 11.505145 48.123434, 11.502071 48.131042, 11.499478 48.133456, 11.498599 48.13563, 11.499876 48.136477, 11.499437 48.137562, 11.497384 48.136152, 11.497452 48.135604, 11.498056 48.134053, 11.498144 48.133097, 11.497644 48.131321, 11.497031 48.12902, 11.496297 48.128015, 11.496019 48.127823, 11.497405 48.126571, 11.499162 48.122223, 11.500877 48.121983, 11.50734 48.117999, 11.513323 48.11921, 11.51427 48.118619, 11.516842 48.118935, 11.520796 48.118363, 11.522351 48.11835, 11.523489 48.118746, 11.524942 48.120072, 11.525717 48.120222, 11.526796 48.119848, 11.529194 48.118465, 11.530107 48.118208, 11.532762 48.11873, 11.535744 48.118163, 11.537836 48.118773, 11.538761 48.118569, 11.547152 48.119579, 11.550983 48.122117, 11.552928 48.12385, 11.551455 48.124959, 11.555094 48.127041, 11.555677 48.127825, 11.558334 48.129105, 11.559303 48.129997, 11.559526 48.130761, 11.559514 48.131192, 11.559514 48.131193, 11.561071 48.13234, 11.560535 48.132459, 11.560092 48.133033, 11.559264 48.134464, 11.557732 48.133471, 11.556893 48.131539, 11.5539 48.130935, 11.549668 48.125378, 11.546675 48.124774, 11.54456 48.121995, 11.538575 48.120787, 11.534306 48.119336, 11.529998 48.121993, 11.526567 48.122475, 11.522299 48.121025, 11.520144 48.122353, 11.514998 48.123076, 11.512445 48.121384, 11.507299 48.122106)))",10450
d68d1739-e0b4-48e5-8a28-8db2eaa9d5fd,"MULTIPOLYGON(((6.799096 51.229485, 6.795544 51.228953, 6.793941 51.225598, 6.793269 51.22516, 6.793682 51.224799, 6.795371 51.223523, 6.796241 51.223058, 6.801938 51.221378, 6.803087 51.220682, 6.803936 51.219793, 6.804386 51.219021, 6.806624 51.222122, 6.808812 51.227816, 6.805044 51.22985, 6.800846 51.230608, 6.799096 51.229485)), ((6.770395 51.243453, 6.772155 51.243308, 6.7745793 51.2422049, 6.7741219 51.242741, 6.7738709 51.243431, 6.7739579 51.243831, 6.7743499 51.244349, 6.7765019 51.245847, 6.7771159 51.246489, 6.7772959 51.247125, 6.7756129 51.246993, 6.772365 51.246184, 6.767808 51.248489, 6.767291 51.249496, 6.765013 51.250649, 6.762009 51.249932, 6.75797 51.25123, 6.756209 51.251375, 6.743536 51.251178, 6.738394 51.24995, 6.734355 51.251247, 6.724827 51.250102, 6.723584 51.249239, 6.725862 51.248088, 6.728657 51.24593, 6.728657 51.245929, 6.728658 51.245929, 6.728658 51.245928, 6.728657 51.245928, 6.72669 51.243198, 6.725448 51.242336, 6.721202 51.240756, 6.71996 51.239894, 6.718717 51.239032, 6.720271 51.236011, 6.720581 51.232127, 6.718614 51.229396, 6.71613 51.227671, 6.717165 51.225657, 6.718981 51.224739, 6.720621 51.225988, 6.724929 51.226947, 6.729174 51.228526, 6.725137 51.229823, 6.724619 51.230831, 6.727104 51.232556, 6.726081 51.234503, 6.725943 51.236328, 6.725948 51.236589, 6.726276 51.237446, 6.727518 51.238308, 6.730521 51.239025, 6.734249 51.241612, 6.734456 51.244488, 6.732179 51.24564, 6.732904 51.247509, 6.734147 51.248371, 6.737151 51.249088, 6.742432 51.248653, 6.744266 51.250756, 6.7511443 51.2506464, 6.761283 51.248063, 6.764595 51.244897, 6.770395 51.243453)))",7848
73df1235-55c8-4edb-aa7f-279328d3ea94,"POLYGON((13.384789 52.504334, 13.384775 52.503381, 13.382194 52.501481, 13.380157 52.498904, 13.379248 52.494192, 13.379125 52.492321, 13.379643 52.489733, 13.380453 52.485523, 13.380596 52.485146, 13.380818 52.484958, 13.382163 52.484881, 13.38199 52.48478, 13.383228 52.484373, 13.386463 52.48387, 13.388254 52.483047, 13.390893 52.483435, 13.39433 52.48346, 13.394879 52.483556, 13.395945 52.483743, 13.399607 52.483262, 13.401804 52.482706, 13.402383 52.483338, 13.405203 52.482876, 13.405476 52.483892, 13.404218 52.4846, 13.401063 52.48793, 13.397843 52.487382, 13.39557 52.488652, 13.394247 52.491742, 13.395196 52.493561, 13.395703 52.49641, 13.396124 52.497217, 13.396437 52.497889, 13.396441 52.498997, 13.394925 52.501659, 13.394887 52.502348, 13.39326 52.501976, 13.392692 52.501974, 13.391665 52.501799, 13.391331 52.502578, 13.390516 52.502441, 13.390402 52.502505, 13.389386 52.502412, 13.387413 52.502532, 13.38569 52.502967, 13.385322 52.503281, 13.384789 52.504334))",6790
b99d9b6b-39a8-4f33-891c-6961ce60a767,"MULTIPOLYGON(((10.02248 53.594283, 10.021286 53.593399, 10.020011 53.592634, 10.02001 53.592634, 10.014698 53.592262, 10.012536 53.591798, 10.011755 53.591185, 10.011398 53.589861, 10.011059 53.589309, 10.010444 53.588913, 10.009592 53.588693, 10.007822 53.58867, 10.00739 53.589552, 10.00707 53.589047, 10.006578 53.587487, 10.00605 53.586464, 10.00577 53.586104, 10.006773 53.586824, 10.005769 53.586103, 10.005347 53.585561, 10.004688 53.585046, 10.003507 53.584125, 10.00291 53.58385, 10.00421 53.584294, 10.004556 53.584648, 10.004894 53.584851, 10.007262 53.586272, 10.009109 53.586093, 10.014158 53.586547, 10.015016 53.588349, 10.014521 53.58934, 10.015874 53.590152, 10.019569 53.589794, 10.02376 53.588444, 10.026961 53.589076, 10.028809 53.588897, 10.032999 53.587547, 10.0362 53.588179, 10.037554 53.58899, 10.039896 53.587819, 10.045934 53.586289, 10.048342 53.586499, 10.047186 53.588303, 10.046183 53.590301, 10.045804 53.590074, 10.045582 53.590096, 10.045581 53.590096, 10.043956 53.590254, 10.038907 53.589802, 10.03607 53.591964, 10.032374 53.592323, 10.031021 53.591511, 10.025971 53.591058, 10.023134 53.59322, 10.02248 53.594283)), ((10.048818 53.555817, 10.050666 53.555637, 10.05215 53.55526, 10.052477 53.556158, 10.047622 53.558765, 10.045616 53.560159, 10.044995 53.559964, 10.040572 53.554733, 10.038231 53.555905, 10.033184 53.555452, 10.029985 53.55482, 10.025927 53.552384, 10.019893 53.553914, 10.01773 53.55372, 10.014847 53.553461, 10.009306 53.553999, 10.005118 53.55535, 10.003073 53.556372, 10.003035 53.556167, 10.001736 53.556355, 10.001714 53.556856, 10.001555 53.557995, 10.002282 53.55798, 10.003369 53.557958, 10.005941 53.558352, 10.005709 53.562148, 10.005349 53.561932, 10.005349 53.561933, 10.00568 53.562629, 10.004954 53.574519, 10.003964 53.575274, 10.003963 53.575274, 10.003963 53.575275, 10.004249 53.575874, 10.004379 53.575809, 10.003709 53.577005, 10.001072 53.581083, 10.004209 53.584293, 10.00291 53.58385, 10.001754 53.583318, 10.000188 53.582597, 9.999873 53.582836, 10.000265 53.581949, 10.000993 53.581221, 10.000631 53.578426, 10.004197 53.573847, 10.001248 53.55878, 10.001432 53.558005, 10.00165 53.556856, 10.001661 53.556364, 10.001679 53.555898, 10.001396 53.554999, 10.000839 53.554304, 10.000481 53.554078, 10.000559 53.553921, 9.99956 53.552901, 9.999495 53.552602, 10.001063 53.552913, 10.004756 53.552554, 10.01079 53.551024, 10.020024 53.550127, 10.021376 53.550939, 10.027411 53.549408, 10.03061 53.550041, 10.031468 53.551844, 10.035525 53.554281, 10.037372 53.554101, 10.039713 53.552929, 10.04156 53.552749, 10.04476 53.553381, 10.048818 53.555817)))",6130
7828d810-aa86-4318-b2be-f5be16d7dd2e,"MULTIPOLYGON(((13.343216 52.512691, 13.344276 52.512866, 13.343666 52.512946, 13.343216 52.512691)), ((13.37106 52.517098, 13.371002 52.516586, 13.371272 52.517104, 13.371374 52.517217, 13.37106 52.517098)), ((13.336219 52.549244, 13.331972 52.548128, 13.330461 52.547689, 13.328186 52.548957, 13.326796 52.548168, 13.321741 52.547856, 13.318076 52.548334, 13.318961 52.546277, 13.321679 52.543981, 13.320731 52.542163, 13.319341 52.541373, 13.316119 52.540822, 13.317004 52.538765, 13.319279 52.537498, 13.319722 52.536469, 13.315553 52.5341, 13.319217 52.533622, 13.323386 52.535991, 13.322944 52.537019, 13.320669 52.538287, 13.320226 52.539316, 13.323449 52.539866, 13.323511 52.543742, 13.323069 52.54477, 13.324901 52.544531, 13.327176 52.543264, 13.336219 52.549244)), ((13.370384 52.520572, 13.370337 52.520939, 13.369947 52.520192, 13.368655 52.520113, 13.370609 52.519931, 13.371591 52.520137, 13.371592 52.520137, 13.372184 52.520681, 13.370385 52.520571, 13.370384 52.520571, 13.370384 52.520572)), ((13.311261 52.523978, 13.31581 52.521442, 13.3165481 52.5197285, 13.31745 52.518977, 13.321946 52.514285, 13.324028 52.511658, 13.325398 52.511417, 13.328003 52.509166, 13.3283699 52.5083907, 13.3329008 52.5098863, 13.333827 52.510311, 13.333818 52.510287, 13.333846 52.509885, 13.33386 52.509683, 13.333863 52.509633, 13.333865 52.509608, 13.333867 52.509583, 13.333874 52.509482, 13.3337 52.509152, 13.333885 52.509328, 13.333887 52.50933, 13.334892 52.510287, 13.335831 52.510801, 13.336927 52.510863, 13.339208 52.510413, 13.339497 52.510577, 13.33417 52.511273, 13.334157 52.511714, 13.333808 52.512019, 13.331214 52.513026, 13.32749 52.515379, 13.326844 52.515982, 13.325501 52.517825, 13.324508 52.518638, 13.323813 52.518912, 13.323579 52.519457, 13.324084 52.522304, 13.322949 52.522638, 13.322683 52.523325, 13.322035 52.523899, 13.32128 52.524122, 13.320433 52.524045, 13.319627 52.523615, 13.318146 52.524051, 13.316684 52.524866, 13.316122 52.526045, 13.315608 52.526691, 13.316376 52.528166, 13.313659 52.530463, 13.311827 52.530702, 13.314163 52.53331, 13.315553 52.5341, 13.312773 52.53252, 13.311223 52.53207, 13.308162 52.53118, 13.306773 52.53039, 13.305826 52.528571, 13.310375 52.526036, 13.311261 52.523978)), ((13.354632 52.512271, 13.355986 52.512264, 13.356046 52.512298, 13.360658 52.513637, 13.363843 52.512466, 13.365248 52.512404, 13.370324 52.515285, 13.37065 52.51591, 13.370649 52.515909, 13.36995 52.51569, 13.369266 52.515818, 13.369021 52.516054, 13.369 52.516361, 13.369761 52.517242, 13.369786 52.517544, 13.367728 52.519142, 13.367406 52.519736, 13.367406 52.519737, 13.367623 52.520017, 13.367777 52.520059, 13.364893 52.519882, 13.363944 52.518064, 13.362554 52.517274, 13.360216 52.514666, 13.355163 52.514356, 13.352744 52.512982, 13.354046 52.512214, 13.354046 52.512213, 13.354046 52.512212, 13.354038 52.512198, 13.354631 52.512271, 13.354632 52.512271)), ((13.341378 52.511431, 13.341474 52.511701, 13.339497 52.510577, 13.340066 52.51026, 13.341049 52.510243, 13.341397 52.510499, 13.341397 52.5105, 13.341378 52.511431)), ((13.364556 52.530639, 13.364051 52.531117, 13.363697 52.530723, 13.366413 52.528425, 13.365906 52.525578, 13.36818 52.524309, 13.369635 52.523077, 13.369273 52.523915, 13.367533 52.526287, 13.366386 52.527455, 13.366386 52.527456, 13.366385 52.527456, 13.366385 52.527457, 13.366386 52.527457, 13.366981 52.527379, 13.36701 52.527542, 13.36676 52.528491, 13.366193 52.529236, 13.365955 52.529423, 13.3658 52.529126, 13.3658 52.529125, 13.365799 52.529125, 13.365798 52.529125, 13.365798 52.529126, 13.364556 52.530639)))",4760
2f6b6bf8-2f50-4761-90ea-3e349b3d89c9,"MULTIPOLYGON(((10.108902 53.562217, 10.105271 53.564036, 10.104351 53.564057, 10.101403 53.563714, 10.099481 53.563003, 10.096229 53.560961, 10.09492 53.560635, 10.096526 53.560596, 10.106687 53.559602, 10.109028 53.558429, 10.109558 53.558286, 10.111965 53.557684, 10.115063 53.556894, 10.115557 53.555901, 10.113342 53.553286, 10.114328 53.551302, 10.118516 53.549947, 10.122211 53.549585, 10.125537 53.546426, 10.127877 53.545252, 10.12837 53.54426, 10.124308 53.541825, 10.125787 53.538848, 10.123079 53.537225, 10.121358 53.533617, 10.12419 53.53145, 10.124683 53.530458, 10.119636 53.530008, 10.118775 53.528205, 10.119761 53.526219, 10.122469 53.527842, 10.128869 53.529102, 10.130223 53.529913, 10.131084 53.531717, 10.13096 53.535507, 10.131821 53.537311, 10.134036 53.539926, 10.132557 53.542904, 10.133419 53.544708, 10.130954 53.549671, 10.126766 53.551026, 10.125412 53.550215, 10.119377 53.551751, 10.118884 53.552743, 10.120606 53.55635, 10.12196 53.557162, 10.118633 53.56032, 10.114938 53.560682, 10.108902 53.562217)), ((10.114715 53.52577, 10.119761 53.526219, 10.117915 53.5264, 10.113235 53.528748, 10.110035 53.528118, 10.107696 53.529292, 10.103142 53.52785, 10.100436 53.526226, 10.098096 53.5274, 10.093543 53.525958, 10.09219 53.525146, 10.089357 53.527312, 10.087017 53.528486, 10.080984 53.53002, 10.077291 53.530382, 10.075811 53.533359, 10.07113 53.535705, 10.067437 53.536066, 10.06645 53.53805, 10.066815 53.540847, 10.062756 53.538411, 10.059557 53.53778, 10.058698 53.535975, 10.059686 53.533991, 10.067072 53.533269, 10.070399 53.530112, 10.071387 53.528127, 10.080618 53.527223, 10.084805 53.525869, 10.087637 53.523703, 10.087638 53.523703, 10.087638 53.523702, 10.086778 53.521899, 10.091824 53.522349, 10.095516 53.521987, 10.101915 53.523248, 10.107455 53.522705, 10.112501 53.523154, 10.114715 53.52577)), ((10.066815 53.540847, 10.069521 53.542471, 10.069886 53.545267, 10.069393 53.546259, 10.066064 53.549416, 10.064217 53.549596, 10.065076 53.5514, 10.062242 53.553564, 10.061748 53.554556, 10.071349 53.55645, 10.073607 53.557776, 10.075409 53.558885, 10.081811 53.560147, 10.081528 53.561082, 10.08022 53.560724, 10.077444 53.560481, 10.074532 53.55966, 10.071292 53.560015, 10.067558 53.559555, 10.064473 53.560575, 10.062695 53.560725, 10.061313 53.560523, 10.060803 53.560688, 10.060631 53.560328, 10.059711 53.560291, 10.059016 53.559631, 10.056442 53.558442, 10.054725 53.558071, 10.054869 53.557834, 10.053941 53.557469, 10.053639 53.557247, 10.05295 53.556782, 10.052477 53.556158, 10.052129 53.555384, 10.052101 53.555273, 10.056701 53.554105, 10.056336 53.551309, 10.059664 53.548153, 10.060652 53.546168, 10.06484 53.544816, 10.066815 53.540847)))",4390
9561d203-1d72-41d3-9e8c-144eec48fe42,"POLYGON((11.553118 48.168975, 11.551791 48.168707, 11.551813 48.168589, 11.552476 48.167058, 11.5532595 48.1658324, 11.554038 48.164773, 11.554953 48.163945, 11.555933 48.163386, 11.557116 48.163075, 11.557028 48.1633, 11.557161 48.164307, 11.557829 48.169337, 11.569332 48.176944, 11.572729 48.180566, 11.575286 48.182256, 11.582556 48.184307, 11.588109 48.1866, 11.591105 48.187204, 11.597047 48.184305, 11.604354 48.182251, 11.60735 48.182854, 11.609591 48.181525, 11.609626 48.17742, 11.608785 48.175489, 11.610537 48.171141, 11.610572 48.167036, 11.611448 48.164862, 11.610607 48.16293, 11.609329 48.162085, 11.608085 48.157135, 11.608523 48.156048, 11.605966 48.154358, 11.603006 48.149649, 11.601386 48.148361, 11.605022 48.148911, 11.607938 48.150329, 11.610114 48.150375, 11.611451 48.150188, 11.614548 48.153147, 11.612797 48.157495, 11.6132 48.160514, 11.612762 48.161601, 11.614006 48.166552, 11.615688 48.170415, 11.612622 48.178022, 11.612622 48.178023, 11.614742 48.180799, 11.613428 48.184059, 11.610835 48.186474, 11.607839 48.185872, 11.60656 48.185027, 11.598412 48.18515, 11.595818 48.187565, 11.594942 48.189738, 11.591507 48.190221, 11.583798 48.189257, 11.576527 48.187205, 11.569696 48.184066, 11.56546 48.178513, 11.55863 48.175374, 11.557352 48.174529, 11.557791 48.173443, 11.557791 48.173442, 11.553118 48.168975))",3948
abed6651-837f-43b0-a177-b736b3727f53,"POLYGON((6.982039 50.917058, 6.977506 50.919388, 6.974728 50.921567, 6.972932 50.922023, 6.974594 50.918051, 6.980555 50.910436, 6.985113 50.910974, 6.986867 50.910822, 6.98935 50.912548, 6.989863 50.911534, 6.996879 50.910929, 7.001629 50.911489, 7.005137 50.911186, 7.009669 50.908854, 7.008939 50.906977, 7.006969 50.904239, 7.008209 50.9051, 7.011205 50.905811, 7.015225 50.904493, 7.019464 50.906067, 7.020706 50.906929, 7.026481 50.905459, 7.026992 50.904445, 7.028746 50.904293, 7.031743 50.905003, 7.035763 50.903685, 7.036494 50.905562, 7.034229 50.906729, 7.032694 50.909772, 7.034156 50.913525, 7.035911 50.913374, 7.038908 50.914084, 7.037372 50.917128, 7.031379 50.915706, 7.032402 50.913678, 7.031159 50.912815, 7.029697 50.909061, 7.027211 50.907336, 7.023191 50.908654, 7.021437 50.908806, 7.015444 50.907385, 7.011936 50.907688, 7.010912 50.909717, 7.012154 50.910579, 7.016392 50.912154, 7.013313 50.91433, 7.012625 50.914492, 7.011349 50.915499, 7.010837 50.916513, 7.005062 50.917982, 7.00382 50.917119, 7.00309 50.915242, 7.000093 50.914531, 6.998339 50.914683, 6.993588 50.914122, 6.993076 50.915137, 6.989786 50.91833, 6.993512 50.920919, 6.993 50.921932, 6.990221 50.924111, 6.989927 50.928016, 6.987364 50.929813, 6.98758 50.930245, 6.98839 50.931057, 6.988094 50.93496, 6.988825 50.936838, 6.993795 50.940288, 6.994525 50.942164, 6.99701 50.943889, 6.998983 50.946628, 7.001469 50.948353, 7.006222 50.948913, 7.009951 50.9515, 7.011925 50.954238, 7.014923 50.954949, 7.018434 50.954647, 7.021214 50.952468, 7.022969 50.952316, 7.029186 50.956627, 7.028968 50.953738, 7.033501 50.951407, 7.03928 50.949938, 7.041035 50.949786, 7.042059 50.947758, 7.051127 50.943094, 7.051639 50.94208, 7.047908 50.939494, 7.045933 50.936756, 7.051709 50.935285, 7.053976 50.934119, 7.054488 50.933105, 7.054779 50.9292, 7.05529 50.928185, 7.053315 50.925447, 7.052071 50.924584, 7.050608 50.920831, 7.050899 50.916925, 7.049655 50.916063, 7.044903 50.915505, 7.049435 50.913172, 7.058138 50.919208, 7.05887 50.921084, 7.066332 50.926257, 7.066041 50.930163, 7.059242 50.933662, 7.058219 50.935691, 7.055441 50.937872, 7.057637 50.9435, 7.058881 50.944362, 7.056614 50.945528, 7.052591 50.946847, 7.049812 50.949027, 7.045278 50.951358, 7.044766 50.952372, 7.041255 50.952676, 7.038256 50.951965, 7.0365 50.952117, 7.03321 50.955309, 7.035696 50.957034, 7.033941 50.957186, 7.029406 50.959517, 7.025894 50.95982, 7.019897 50.958398, 7.016386 50.958701, 7.010388 50.957279, 7.006878 50.957582, 7.006147 50.955706, 6.999932 50.951394, 6.997959 50.948655, 6.994231 50.946068, 6.992258 50.943329, 6.991015 50.942467, 6.986776 50.940892, 6.984803 50.938154, 6.983561 50.937291, 6.983856 50.933387, 6.984881 50.93136, 6.985176 50.927455, 6.986712 50.924414, 6.985983 50.922537, 6.9870094 50.9205919, 6.98679 50.917618, 6.986164 50.916009, 6.982039 50.917058))",3590
